id,longitud,latitud,demanda
2155,-56.17738,-34.893982,1159
2156,-56.177376,-34.894,1159
2157,-56.177258,-34.894924,1202
2158,-56.16866,-34.89481,1568
2159,-56.16872,-34.894238,1371
2160,-56.168964,-34.893375,1369
2161,-56.166416,-34.89256,1269
2162,-56.16646,-34.891922,1486
2163,-56.167625,-34.89267,1364
2164,-56.167625,-34.89269,1364
2165,-56.16742,-34.895008,2248
2166,-56.1685,-34.895416,1939
2167,-56.16804,-34.89494,1232
2168,-56.168182,-34.893074,1387
2169,-56.169056,-34.892548,1481
2170,-56.16773,-34.893974,1344
2171,-56.167755,-34.893974,1344
2172,-56.174362,-34.894474,1220
2173,-56.174385,-34.894474,1220
2174,-56.184074,-34.913544,1341
2175,-56.183983,-34.91228,2792
2176,-56.1841,-34.91112,2615
2177,-56.183987,-34.91084,2853
2178,-56.184128,-34.90935,2314
2179,-56.184128,-34.90933,2314
2180,-56.184258,-34.908344,2368
2181,-56.184322,-34.907734,1874
2182,-56.184505,-34.907158,1924
2183,-56.18462,-34.905445,3228
2184,-56.184624,-34.905434,3228
2185,-56.184624,-34.905422,3228
2186,-56.183292,-34.905006,3357
2187,-56.18328,-34.905018,3357
2188,-56.183273,-34.905033,3357
2189,-56.183136,-34.906597,2283
2190,-56.183186,-34.907368,1735
2191,-56.183113,-34.90798,2158
2192,-56.18301,-34.908897,2307
2193,-56.182755,-34.910206,2807
2194,-56.18276,-34.91022,3028
2195,-56.18278,-34.91111,3269
2196,-56.18227,-34.912586,2746
2197,-56.18152,-34.913597,1920
2198,-56.18234,-34.913326,2006
2199,-56.182743,-34.9131,1851
2200,-56.182774,-34.913086,1851
2201,-56.18306,-34.912624,2045
2202,-56.181454,-34.913048,2094
2203,-56.180088,-34.913685,1961
2204,-56.177845,-34.91345,1827
2205,-56.17784,-34.91347,1827
2206,-56.180157,-34.912083,2448
2207,-56.180157,-34.91207,2448
2208,-56.180336,-34.911488,2125
2209,-56.180477,-34.909184,2150
2210,-56.180477,-34.909176,2150
2211,-56.179424,-34.90859,1945
2212,-56.179424,-34.908558,1945
2213,-56.179546,-34.90746,1902
2214,-56.179623,-34.906746,2256
2215,-56.179535,-34.905872,2788
2216,-56.180046,-34.904346,2969
2217,-56.180065,-34.90432,2969
2218,-56.17852,-34.906586,2528
2219,-56.17852,-34.9066,2528
2220,-56.178516,-34.906616,2528
2221,-56.17844,-34.90738,2372
2222,-56.178436,-34.907417,2372
2223,-56.17847,-34.90845,2198
2224,-56.17847,-34.908474,1954
2225,-56.178112,-34.911823,2801
2226,-56.178112,-34.911854,2801
2227,-56.178017,-34.91284,2068
2228,-56.179207,-34.913174,2006
2229,-56.181675,-34.910885,2421
2230,-56.181774,-34.910034,2378
2231,-56.18187,-34.909203,2441
2232,-56.181873,-34.90918,2441
2233,-56.181942,-34.90847,2072
2234,-56.181942,-34.908455,2072
2235,-56.181087,-34.906075,3018
2236,-56.18095,-34.906086,3018
2237,-56.18483,-34.906353,2254
2238,-56.18427,-34.906307,2156
2239,-56.182327,-34.906303,2379
2240,-56.182327,-34.906315,2466
2241,-56.18229,-34.906654,1814
2242,-56.18229,-34.906673,2066
2243,-56.182156,-34.90787,2155
2244,-56.181778,-34.911396,2845
2245,-56.18168,-34.91217,2551
2246,-56.17906,-34.912014,2447
2247,-56.178364,-34.91153,2525
2248,-56.1792,-34.910812,2041
2249,-56.179203,-34.91079,2144
2250,-56.1794,-34.909992,2347
2251,-56.17872,-34.90967,2106
2252,-56.178696,-34.909668,2275
2253,-56.17998,-34.910725,1732
2254,-56.18044,-34.910454,2199
2255,-56.1795,-34.90927,2039
2256,-56.180996,-34.907467,1801
2257,-56.180992,-34.90748,1801
2258,-56.181488,-34.90593,2484
2259,-56.179893,-34.9063,2523
2260,-56.17988,-34.9063,2523
2261,-56.179176,-34.906345,2098
2262,-56.17816,-34.90655,2078
2263,-56.17813,-34.90656,2078
2264,-56.17439,-34.907696,2696
2265,-56.174316,-34.90821,2663
2266,-56.174313,-34.908222,2663
2267,-56.17403,-34.909595,2659
2268,-56.174904,-34.910168,2625
2269,-56.17449,-34.90968,1874
2270,-56.173992,-34.91104,2074
2271,-56.17378,-34.911674,2349
2272,-56.17378,-34.911697,2349
2273,-56.173725,-34.912235,2525
2274,-56.17372,-34.912266,2525
2275,-56.174294,-34.91381,1475
2276,-56.174747,-34.91325,2004
2277,-56.17475,-34.913235,2004
2278,-56.1747,-34.91245,2407
2279,-56.174927,-34.91153,2181
2280,-56.17488,-34.910503,2117
2281,-56.17498,-34.909504,2272
2282,-56.17519,-34.908707,2177
2283,-56.175232,-34.90828,2483
2284,-56.17535,-34.9072,2961
2285,-56.175297,-34.90673,2777
2286,-56.175175,-34.905937,3197
