longitud,latitud,demanda,demanda_normalizada,id
-56.196987,-34.907143,3056.0,0.4621556161065698,144
-56.196987,-34.907158,3056.0,0.4621556161065698,145
-56.196766,-34.90758,3179.0,0.48077505298213746,146
-56.196766,-34.907593,3179.0,0.48077505298213746,147
-56.196728,-34.908092,3319.0,0.5019679079624584,148
-56.19669,-34.90835,3319.0,0.5019679079624584,149
-56.19669,-34.908367,3453.0,0.522252497729337,150
-56.196823,-34.908684,3197.0,0.4834998486224644,151
-56.196823,-34.90869,3197.0,0.4834998486224644,152
-56.196724,-34.90957,3424.0,0.517862549197699,153
-56.196724,-34.909588,3424.0,0.517862549197699,154
-56.19669,-34.909805,3408.0,0.5154405086285195,155
-56.196636,-34.910267,3139.0,0.4747199515591886,156
-56.196373,-34.911324,1805.0,0.272782319103845,157
-56.19636,-34.911377,1483.0,0.22403875264910686,158
-56.19636,-34.911396,1483.0,0.22403875264910686,159
-56.19425,-34.911583,1989.0,0.3006357856494096,160
-56.19425,-34.91161,1989.0,0.3006357856494096,161
-56.194244,-34.911636,1989.0,0.3006357856494096,162
-56.195244,-34.911407,2152.0,0.32531032394792614,163
-56.195244,-34.911396,2152.0,0.32531032394792614,164
-56.195244,-34.911373,2152.0,0.32531032394792614,165
-56.195435,-34.909554,3281.0,0.496215561610657,166
-56.195618,-34.909203,3092.0,0.4676052073872237,167
-56.195618,-34.909187,3092.0,0.4676052073872237,168
-56.195538,-34.908546,3215.0,0.4862246442627914,169
-56.195538,-34.908535,3215.0,0.4862246442627914,170
-56.195568,-34.908268,2981.0,0.45080230093854073,171
-56.19559,-34.908005,2981.0,0.45080230093854073,172
-56.195595,-34.907986,2981.0,0.45080230093854073,173
-56.19582,-34.905876,2195.0,0.3318195579775961,174
-56.196346,-34.902294,1678.0,0.25355737208598245,175
-56.19635,-34.90227,1678.0,0.25355737208598245,176
-56.1964,-34.90164,966.0,0.14577656675749318,177
-56.194157,-34.900166,879.0,0.13260672116257946,178
-56.195446,-34.900185,404.0,0.060702391765062064,179
-56.195442,-34.90022,467.0,0.07023917650620648,180
-56.195126,-34.901638,1442.0,0.2178322736905843,181
-56.19519,-34.902607,1579.0,0.23857099606418408,182
-56.19519,-34.90262,1839.0,0.2779291553133515,183
-56.19512,-34.903126,1876.0,0.2835301241295792,184
-56.194984,-34.90455,2188.0,0.33075991522858006,185
-56.194984,-34.904583,1972.0,0.29806236754465637,186
-56.19484,-34.905987,2348.0,0.3549803209203754,187
-56.194836,-34.906017,2348.0,0.3549803209203754,188
-56.19469,-34.90747,2722.0,0.411595519224947,189
-56.194687,-34.907486,2887.0,0.43657281259461095,190
-56.194477,-34.90783,3144.0,0.47547683923705725,191
-56.194473,-34.907845,3144.0,0.47547683923705725,192
-56.194576,-34.90836,3105.0,0.4695731153496821,193
-56.194576,-34.908375,3021.0,0.45685740236148953,194
-56.19431,-34.909504,2842.0,0.4297608234937935,195
-56.194305,-34.909527,3081.0,0.4659400544959128,196
-56.194233,-34.91023,3110.0,0.47033000302755074,197
-56.19423,-34.910248,3110.0,0.47033000302755074,198
-56.19423,-34.910263,2908.0,0.4397517408416591,199
-56.19191,-34.910774,3114.0,0.4709355131698456,200
-56.19197,-34.910225,2697.0,0.407811080835604,201
-56.19206,-34.909504,3098.0,0.46851347260066606,202
-56.19214,-34.90864,2673.0,0.40417801998183467,203
-56.192226,-34.907684,2611.0,0.394792612776264,204
-56.192303,-34.90708,2519.0,0.38086587950348166,205
-56.192303,-34.90706,2519.0,0.38086587950348166,206
-56.19232,-34.906788,2519.0,0.38086587950348166,207
-56.192326,-34.90677,2519.0,0.38086587950348166,208
-56.1924,-34.906116,2004.0,0.3029064486830154,209
-56.192604,-34.905777,2004.0,0.3029064486830154,210
-56.19261,-34.90575,2004.0,0.3029064486830154,211
-56.192657,-34.905293,1841.0,0.27823191038449896,212
-56.19266,-34.905262,1479.0,0.22343324250681199,213
-56.192566,-34.904778,1548.0,0.23387829246139874,214
-56.19284,-34.90356,1706.0,0.2577959430820466,215
-56.192844,-34.90354,1706.0,0.2577959430820466,216
-56.19397,-34.904945,2012.0,0.3041174689676052,217
-56.19399,-34.904976,2012.0,0.3041174689676052,218
-56.19394,-34.903786,1680.0,0.25386012715712986,219
-56.193893,-34.90261,1641.0,0.24795640326975477,220
-56.19402,-34.901478,1379.0,0.20829548894943992,221
-56.19405,-34.901196,1379.0,0.20829548894943992,222
-56.19405,-34.90117,1581.0,0.23887375113533152,223
