Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness,Tiempo_de_ejecucion_en_ms
100,50,0.1,1.0,0.01,-47.192901465020036,3453
100,50,0.1,0.8,0.1,-43.260206135153716,4152
100,500,0.3,0.7,0.01,-46.34477655655536,21172
100,500,0.5,0.7,0.2,-51.715837490682745,23701
100,50,0.1,0.8,0.2,-46.428899339117926,3195
100,50,0.1,0.8,0.05,-41.92787994674665,4597
100,50,0.1,0.8,0.01,-44.076199988802856,3429
100,50,0.1,0.7,0.1,-45.97642476101216,3230
100,50,0.1,0.7,0.2,-41.45354428546007,3826
200,200,0.3,1.0,0.1,-48.42091388824789,26261
100,50,0.1,0.7,0.05,-43.55547485327054,3378
100,500,0.1,0.9,0.1,-44.622318846176334,20577
100,50,0.1,0.7,0.01,-42.58946967109415,5843
100,500,0.5,0.7,0.05,-48.48022365801295,28160
100,500,0.1,0.9,0.2,-46.10990242176974,20501
200,200,0.3,1.0,0.2,-50.09774079669353,25317
500,200,0.5,0.7,0.01,-50.69108328640714,84225
100,500,0.5,0.7,0.01,-47.38664194390657,21376
100,500,0.9,0.9,0.1,-52.12498102459671,28173
100,500,0.1,0.9,0.05,-45.438221994520184,16481
500,50,0.9,1.0,0.2,-53.83637068862546,85608
200,200,0.3,1.0,0.05,-47.78937450752889,24991
500,500,0.5,0.9,0.05,-52.28874885757697,137345
100,500,0.1,0.9,0.01,-44.6143857727228,18885
100,500,0.9,0.8,0.1,-52.22318171074225,29388
500,100,0.9,0.9,0.01,-51.668954096020194,91289
100,500,0.9,0.9,0.2,-53.398715347765936,29592
200,200,0.3,1.0,0.01,-47.773985315213565,21509
100,500,0.1,1.0,0.1,-47.808053614498334,15899
100,500,0.9,0.8,0.2,-53.313290991274634,30543
100,500,0.9,0.9,0.05,-52.11851797684025,27836
100,500,0.1,1.0,0.2,-51.209556602596074,20875
200,200,0.3,0.8,0.1,-45.7197951750368,25271
100,500,0.1,1.0,0.05,-46.29662521253539,19456
100,500,0.9,0.8,0.05,-51.80535637161668,25180
200,200,0.3,0.8,0.2,-48.537159818697695,23340
100,500,0.9,0.9,0.01,-51.13331392715121,29018
500,50,0.9,1.0,0.05,-52.633879763654285,78428
100,500,0.1,1.0,0.01,-44.3350849912331,18164
500,200,0.9,0.9,0.1,-53.79074923049605,109181
100,500,0.9,0.8,0.01,-51.15114826152353,23511
200,200,0.3,0.8,0.05,-47.625529865292904,20368
100,500,0.1,0.8,0.1,-46.43318648416331,17207
100,500,0.9,1.0,0.1,-52.2639403375324,29842
500,100,0.9,1.0,0.1,-55.05664797829718,91252
200,200,0.3,0.8,0.01,-48.02743125300996,22176
100,500,0.1,0.8,0.2,-47.935203840076476,16239
100,500,0.9,1.0,0.05,-52.14378963583578,28205
100,500,0.9,1.0,0.2,-55.26808089890557,28209
100,500,0.1,0.8,0.05,-45.41036270034221,15667
200,200,0.3,0.7,0.1,-45.99382884851458,20759
100,500,0.1,0.7,0.1,-44.5070391873145,14972
500,500,0.5,0.9,0.01,-54.90964235696603,132515
500,50,0.9,1.0,0.01,-51.45852541300037,64298
100,500,0.1,0.8,0.01,-46.85858838836961,15634
100,500,0.1,0.7,0.2,-49.42214346006331,16693
200,200,0.3,0.7,0.2,-47.12559130149869,23942
100,500,0.1,0.7,0.05,-43.505152161233184,23624
100,500,0.9,0.7,0.1,-51.74437281116921,36585
200,200,0.3,0.7,0.05,-48.09810970858157,25524
500,200,0.9,0.9,0.2,-57.06822983304635,106638
100,500,0.1,0.7,0.01,-42.63396245644296,18918
500,100,0.9,1.0,0.2,-55.061785842574196,90908
200,200,0.3,0.7,0.01,-47.84318045225122,20999
100,500,0.9,0.7,0.2,-53.13414599188198,28636
500,50,0.9,0.8,0.1,-53.299487279942724,70614
100,500,0.9,0.7,0.05,-52.254172101206436,29144
200,200,0.1,0.9,0.1,-49.90573984955451,18780
200,200,0.1,0.9,0.2,-50.3239262939307,14417
100,500,0.9,1.0,0.01,-51.555382511734685,26655
200,200,0.1,0.9,0.05,-49.45312996258853,13182
200,200,0.1,0.9,0.01,-45.40211482892869,20162
500,100,0.9,1.0,0.05,-53.008531584312365,84125
500,500,0.5,1.0,0.1,-52.6729435549172,146404
500,50,0.9,0.8,0.2,-52.94514113978612,73451
200,200,0.1,1.0,0.1,-49.55387319097374,16565
500,200,0.9,0.9,0.05,-54.31611570460369,100820
200,200,0.1,1.0,0.2,-49.052495101913564,15077
200,200,0.1,1.0,0.05,-49.275840367145825,15981
200,200,0.1,1.0,0.01,-50.502745757674866,13678
200,200,0.1,0.8,0.1,-46.90347782326152,14086
500,50,0.9,0.8,0.05,-52.05434340780412,64720
500,100,0.9,1.0,0.01,-54.648101535334995,74037
200,200,0.1,0.8,0.2,-48.438072376276544,15218
200,200,0.1,0.8,0.05,-47.57324528263453,21912
500,200,0.9,0.9,0.01,-53.112172106046565,94900
200,200,0.1,0.8,0.01,-45.605366486975214,14882
500,500,0.5,1.0,0.2,-54.962135532909485,129780
200,200,0.1,0.7,0.1,-45.50592270092873,13632
500,50,0.9,0.8,0.01,-53.42131246311399,67740
200,200,0.1,0.7,0.2,-44.18617840349515,12910
500,100,0.9,0.8,0.1,-52.353315005191675,74785
200,200,0.1,0.7,0.05,-47.84927324635971,12582
200,200,0.1,0.7,0.01,-44.103127855316856,13510
500,200,0.9,1.0,0.1,-55.9059148134898,92640
500,50,0.9,0.7,0.1,-53.93884862891544,63864
200,500,0.5,0.9,0.1,-53.39525726018797,41610
500,100,0.9,0.8,0.2,-53.192707341870474,72481
500,500,0.5,1.0,0.05,-53.22780536514381,118943
200,500,0.5,0.9,0.2,-52.59652302997647,38169
500,50,0.9,0.7,0.2,-53.11169590594319,61922
200,500,0.5,0.9,0.05,-50.501325766572045,37596
500,200,0.9,1.0,0.2,-55.503743222717404,88368
500,100,0.9,0.8,0.05,-52.766705385249956,68685
200,500,0.5,0.9,0.01,-49.417208821908154,35989
500,50,0.9,0.7,0.05,-51.51804374212848,61096
500,100,0.9,0.8,0.01,-51.661703351096314,68224
500,500,0.5,1.0,0.01,-52.90755041784657,111418
200,500,0.5,1.0,0.1,-49.743682390294225,39297
500,200,0.9,1.0,0.05,-53.953444377755474,84681
500,50,0.9,0.7,0.01,-51.405908498936824,62483
200,500,0.5,1.0,0.2,-51.43947310985656,43089
500,50,0.3,0.9,0.1,-48.21638249455674,30035
500,100,0.9,0.7,0.1,-53.34013056478148,75719
500,50,0.3,0.9,0.2,-47.384073989629584,29706
200,500,0.5,1.0,0.05,-49.76326838459405,42744
500,200,0.9,1.0,0.01,-54.40418162281946,90177
500,50,0.3,0.9,0.05,-47.04747518001554,29312
500,500,0.5,0.8,0.1,-54.73443902517568,122407
200,500,0.5,1.0,0.01,-48.52413790028479,42981
500,50,0.3,0.9,0.01,-47.962250747890394,31193
500,100,0.9,0.7,0.2,-53.179104062019306,74232
200,500,0.5,0.8,0.1,-52.61251129991348,40716
500,50,0.3,1.0,0.1,-48.57628212885944,28214
500,200,0.9,0.8,0.1,-53.86078865176433,86561
500,50,0.3,1.0,0.2,-47.8075078977925,27651
200,500,0.5,0.8,0.2,-52.73662790124591,37321
500,100,0.9,0.7,0.05,-53.99632469674708,69962
500,50,0.3,1.0,0.05,-49.24133307987313,27427
500,500,0.5,0.8,0.2,-56.171766970597794,114162
200,500,0.5,0.8,0.05,-52.22727703479377,35444
500,50,0.3,1.0,0.01,-48.38815589665725,28919
500,200,0.9,0.8,0.2,-54.44106058824802,96096
500,100,0.9,0.7,0.01,-51.88439420438342,74222
500,50,0.3,0.8,0.1,-49.30084021717757,34091
200,500,0.5,0.8,0.01,-47.39866821688264,48867
500,50,0.3,0.8,0.2,-49.9016833054841,30993
500,100,0.3,0.9,0.1,-49.962361042672946,41980
200,500,0.5,0.7,0.1,-51.52136236506165,44266
500,50,0.3,0.8,0.05,-48.904968869184124,31756
500,500,0.5,0.8,0.05,-51.236866691915964,129717
500,100,0.3,0.9,0.2,-49.32574928970081,37050
500,200,0.9,0.8,0.05,-55.084033493739334,89551
200,500,0.5,0.7,0.2,-53.205206138886005,39137
500,50,0.3,0.8,0.01,-48.867627332322385,28654
500,100,0.3,0.9,0.05,-48.61417636543749,36533
