Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness
500,200,0.50,0.80,0.05,3.19
50,100,0.50,1.00,0.01,3.45
50,500,0.30,1.00,0.05,3.80
50,100,0.50,0.80,0.10,3.37
100,50,0.90,1.00,0.20,2.12
500,100,0.50,0.70,0.05,3.31
50,500,0.30,1.00,0.01,3.98
50,100,0.50,0.80,0.20,3.38
100,500,0.30,0.90,0.01,3.96
50,100,0.50,0.80,0.05,3.37
200,200,0.90,0.80,0.05,2.07
50,500,0.30,0.80,0.10,3.76
50,100,0.50,0.80,0.01,3.44
100,50,0.90,1.00,0.05,2.14
50,100,0.50,0.70,0.10,3.41
50,500,0.30,0.80,0.20,3.57
50,100,0.50,0.70,0.20,3.39
100,500,0.30,1.00,0.10,3.56
50,100,0.50,0.70,0.05,3.44
100,50,0.90,1.00,0.01,2.11
50,500,0.30,0.80,0.05,3.85
50,100,0.50,0.70,0.01,3.44
50,500,0.30,0.80,0.01,3.99
50,100,0.90,0.90,0.10,2.08
100,50,0.90,0.80,0.10,2.16
100,500,0.30,1.00,0.20,3.42
50,500,0.30,0.70,0.10,3.70
200,200,0.90,0.80,0.01,2.08
50,100,0.90,0.90,0.20,2.13
500,100,0.50,0.70,0.01,3.32
50,500,0.30,0.70,0.20,3.59
50,100,0.90,0.90,0.05,2.12
100,50,0.90,0.80,0.20,2.15
500,200,0.50,0.80,0.01,3.30
100,500,0.30,1.00,0.05,3.68
50,500,0.30,0.70,0.05,3.83
50,100,0.90,0.90,0.01,2.17
100,50,0.90,0.80,0.05,2.15
50,100,0.90,1.00,0.10,2.15
50,500,0.30,0.70,0.01,3.98
500,500,0.50,1.00,0.05,2.86
50,500,0.10,0.90,0.10,4.19
50,100,0.90,1.00,0.20,2.13
100,500,0.30,1.00,0.01,3.97
200,200,0.90,0.70,0.10,2.03
100,50,0.90,0.80,0.01,2.12
50,500,0.10,0.90,0.20,4.02
50,100,0.90,1.00,0.05,2.17
50,500,0.10,0.90,0.05,4.36
50,100,0.90,1.00,0.01,2.15
100,500,0.30,0.80,0.10,3.58
100,50,0.90,0.70,0.10,2.14
50,500,0.10,0.90,0.01,4.52
50,100,0.90,0.80,0.10,2.15
50,500,0.10,1.00,0.10,4.19
50,100,0.90,0.80,0.20,2.13
100,50,0.90,0.70,0.20,2.14
100,500,0.30,0.80,0.20,3.44
50,500,0.10,1.00,0.20,4.00
50,100,0.90,0.80,0.05,2.15
200,200,0.90,0.70,0.20,2.00
50,500,0.10,1.00,0.05,4.28
50,100,0.90,0.80,0.01,2.15
100,50,0.90,0.70,0.05,2.16
50,500,0.10,1.00,0.01,4.47
50,100,0.90,0.70,0.10,2.13
100,500,0.30,0.80,0.05,3.67
500,200,0.50,0.70,0.10,3.10
500,100,0.90,0.90,0.10,2.04
50,500,0.10,0.80,0.10,4.13
100,50,0.90,0.70,0.01,2.15
50,100,0.90,0.70,0.20,2.11
100,50,0.30,0.90,0.10,3.99
50,500,0.10,0.80,0.20,4.07
50,100,0.90,0.70,0.05,2.18
100,500,0.30,0.80,0.01,3.96
100,50,0.30,0.90,0.20,4.00
50,500,0.10,0.80,0.05,4.34
200,200,0.90,0.70,0.05,2.08
50,100,0.90,0.70,0.01,2.12
100,50,0.30,0.90,0.05,4.00
50,100,0.30,0.90,0.10,4.02
50,500,0.10,0.80,0.01,4.56
50,100,0.30,0.90,0.20,3.98
100,50,0.30,0.90,0.01,4.04
50,100,0.30,0.90,0.05,4.03
50,500,0.10,0.70,0.10,4.22
100,500,0.30,0.70,0.10,3.58
100,50,0.30,1.00,0.10,4.02
50,100,0.30,0.90,0.01,4.06
50,100,0.30,1.00,0.10,3.92
50,500,0.10,0.70,0.20,4.04
100,50,0.30,1.00,0.20,3.99
50,100,0.30,1.00,0.20,3.98
50,100,0.30,1.00,0.05,4.05
100,50,0.30,1.00,0.05,3.97
50,500,0.10,0.70,0.05,4.38
50,100,0.30,1.00,0.01,4.07
100,500,0.30,0.70,0.20,3.44
50,100,0.30,0.80,0.10,4.00
100,50,0.30,1.00,0.01,4.06
50,500,0.10,0.70,0.01,4.53
200,200,0.90,0.70,0.01,2.12
50,100,0.30,0.80,0.20,3.97
50,50,0.50,0.90,0.10,3.42
100,50,0.30,0.80,0.10,4.02
50,100,0.30,0.80,0.05,4.05
500,500,0.50,1.00,0.01,3.18
50,50,0.50,0.90,0.20,3.45
50,100,0.30,0.80,0.01,4.04
100,50,0.30,0.80,0.20,3.98
50,100,0.30,0.70,0.10,3.96
50,50,0.50,0.90,0.05,3.41
100,500,0.30,0.70,0.05,3.68
50,100,0.30,0.70,0.20,3.98
100,50,0.30,0.80,0.05,4.06
50,50,0.50,0.90,0.01,3.44
500,200,0.50,0.70,0.20,3.04
50,100,0.30,0.70,0.05,4.04
200,200,0.30,0.90,0.10,3.80
50,50,0.50,1.00,0.10,3.43
100,50,0.30,0.80,0.01,4.07
50,100,0.30,0.70,0.01,4.05
50,100,0.10,0.90,0.10,4.52
50,50,0.50,1.00,0.20,3.44
50,100,0.10,0.90,0.20,4.51
500,100,0.90,0.90,0.20,1.99
100,50,0.30,0.70,0.10,4.03
50,100,0.10,0.90,0.05,4.57
100,500,0.30,0.70,0.01,3.92
50,50,0.50,1.00,0.05,3.43
50,100,0.10,0.90,0.01,4.66
100,50,0.30,0.70,0.20,3.99
50,100,0.10,1.00,0.10,4.50
50,50,0.50,1.00,0.01,3.47
50,100,0.10,1.00,0.20,4.46
50,100,0.10,1.00,0.05,4.52
50,50,0.50,0.80,0.10,3.40
100,50,0.30,0.70,0.05,4.02
